survived,pclass,fare,alone,sex_male,who_man,who_woman,embark_town_Queenstown,embark_town_Southampton
0,3,7.25,False,True,True,False,False,True
1,1,71.2833,False,False,False,True,False,False
1,3,7.925,True,False,False,True,False,True
1,1,53.1,False,False,False,True,False,True
0,3,8.05,True,True,True,False,False,True
0,3,8.4583,True,True,True,False,True,False
0,1,51.8625,True,True,True,False,False,True
0,3,21.075,False,True,False,False,False,True
1,3,11.1333,False,False,False,True,False,True
1,2,30.0708,False,False,False,False,False,False
1,3,16.7,False,False,False,False,False,True
1,1,26.55,True,False,False,True,False,True
0,3,8.05,True,True,True,False,False,True
0,3,31.275,False,True,True,False,False,True
0,3,7.8542,True,False,False,False,False,True
1,2,16.0,True,False,False,True,False,True
0,3,29.125,False,True,False,False,True,False
1,2,13.0,True,True,True,False,False,True
0,3,18.0,False,False,False,True,False,True
1,3,7.225,True,False,False,True,False,False
0,2,26.0,True,True,True,False,False,True
1,2,13.0,True,True,True,False,False,True
1,3,8.0292,True,False,False,False,True,False
1,1,35.5,True,True,True,False,False,True
0,3,21.075,False,False,False,False,False,True
1,3,31.3875,False,False,False,True,False,True
0,3,7.225,True,True,True,False,False,False
0,1,263.0,False,True,True,False,False,True
1,3,7.8792,True,False,False,True,True,False
0,3,7.8958,True,True,True,False,False,True
0,1,27.7208,True,True,True,False,False,False
1,1,146.5208,False,False,False,True,False,False
1,3,7.75,True,False,False,True,True,False
0,2,10.5,True,True,True,False,False,True
0,1,82.1708,False,True,True,False,False,False
0,1,52.0,False,True,True,False,False,True
1,3,7.2292,True,True,True,False,False,False
0,3,8.05,True,True,True,False,False,True
0,3,18.0,False,False,False,True,False,True
1,3,11.2417,False,False,False,False,False,False
0,3,9.475,False,False,False,True,False,True
0,2,21.0,False,False,False,True,False,True
0,3,7.8958,True,True,True,False,False,False
1,2,41.5792,False,False,False,False,False,False
1,3,7.8792,True,False,False,True,True,False
0,3,8.05,True,True,True,False,False,True
0,3,15.5,False,True,True,False,True,False
1,3,7.75,True,False,False,True,True,False
0,3,21.6792,False,True,True,False,False,False
0,3,17.8,False,False,False,True,False,True
0,3,39.6875,False,True,False,False,False,True
0,3,7.8,True,True,True,False,False,True
1,1,76.7292,False,False,False,True,False,False
1,2,26.0,False,False,False,True,False,True
0,1,61.9792,False,True,True,False,False,False
1,1,35.5,True,True,True,False,False,True
1,2,10.5,True,False,False,True,False,True
0,3,7.2292,True,True,True,False,False,False
1,2,27.75,False,False,False,False,False,True
0,3,46.9,False,True,False,False,False,True
0,3,7.2292,True,True,True,False,False,False
1,1,80.0,True,False,False,True,False,True
0,1,83.475,False,True,True,False,False,True
0,3,27.9,False,True,False,False,False,True
0,1,27.7208,True,True,True,False,False,False
1,3,15.2458,False,True,True,False,False,False
1,2,10.5,True,False,False,True,False,True
0,3,8.1583,True,True,True,False,False,True
1,3,7.925,False,False,False,True,False,True
0,3,8.6625,False,True,True,False,False,True
0,2,10.5,True,True,True,False,False,True
0,3,46.9,False,False,False,True,False,True
0,2,73.5,True,True,True,False,False,True
0,3,14.4542,False,True,True,False,False,False
1,3,56.4958,True,True,True,False,False,True
0,3,7.65,True,True,True,False,False,True
0,3,7.8958,True,True,True,False,False,True
0,3,8.05,True,True,True,False,False,True
1,2,29.0,False,True,False,False,False,True
1,3,12.475,True,False,False,True,False,True
0,3,9.0,True,True,True,False,False,True
1,3,9.5,True,True,True,False,False,True
1,3,7.7875,True,False,False,True,True,False
0,1,47.1,True,True,True,False,False,True
1,2,10.5,True,False,False,True,False,True
1,3,15.85,False,False,False,True,False,True
0,3,34.375,False,True,True,False,False,True
0,3,8.05,True,True,True,False,False,True
1,1,263.0,False,False,False,True,False,True
0,3,8.05,True,True,True,False,False,True
0,3,8.05,True,True,True,False,False,True
0,3,7.8542,True,True,True,False,False,True
0,1,61.175,False,True,True,False,False,True
0,3,20.575,False,True,True,False,False,True
0,3,7.25,True,True,True,False,False,True
0,3,8.05,True,True,True,False,False,True
0,1,34.6542,True,True,True,False,False,False
1,1,63.3583,False,True,True,False,False,False
1,2,23.0,False,False,False,True,False,True
0,2,26.0,False,True,True,False,False,True
0,3,7.8958,True,False,False,True,False,True
0,3,7.8958,True,True,True,False,False,True
0,1,77.2875,False,True,True,False,False,True
0,3,8.6542,True,True,True,False,False,True
0,3,7.925,False,True,True,False,False,True
0,3,7.8958,True,True,True,False,False,True
1,3,7.65,True,False,False,True,False,True
1,3,7.775,True,True,True,False,False,True
0,3,7.8958,True,True,True,False,False,True
1,3,24.15,False,False,False,True,True,False
0,1,52.0,True,True,True,False,False,True
0,3,14.4542,False,False,False,False,False,False
0,3,8.05,True,True,True,False,False,True
0,3,9.825,False,False,False,True,False,True
0,3,14.4583,True,False,False,True,False,False
0,3,7.925,True,True,True,False,False,True
0,3,7.75,True,True,True,False,True,False
0,2,21.0,False,True,True,False,False,True
0,1,247.5208,False,True,True,False,False,False
0,3,31.275,False,False,False,False,False,True
0,2,73.5,False,True,True,False,False,True
0,3,8.05,True,True,True,False,False,True
0,2,30.0708,False,True,True,False,False,False
1,2,13.0,True,False,False,True,False,True
0,1,77.2875,False,True,True,False,False,True
1,3,11.2417,False,True,False,False,False,False
0,3,7.75,True,True,True,False,True,False
1,3,7.1417,True,True,True,False,False,True
1,3,22.3583,False,False,False,True,False,False
0,3,6.975,True,True,True,False,False,True
0,3,7.8958,True,True,True,False,False,False
0,3,7.05,True,True,True,False,False,True
0,3,14.5,False,False,False,True,False,True
1,2,26.0,False,False,False,True,False,True
0,2,13.0,True,True,True,False,False,True
0,2,15.0458,True,True,True,False,False,False
1,1,26.2833,False,False,False,True,False,True
0,1,53.1,False,True,True,False,False,True
0,3,9.2167,True,True,True,False,False,True
0,1,79.2,True,True,True,False,False,False
0,3,15.2458,False,False,False,True,False,False
1,3,7.75,True,False,False,True,False,True
1,3,15.85,False,False,False,True,False,True
0,3,6.75,True,True,True,False,True,False
0,2,11.5,True,True,True,False,False,True
0,2,36.75,False,True,True,False,False,True
1,3,7.7958,True,True,True,False,False,True
0,3,34.375,False,False,False,False,False,True
0,2,26.0,False,True,True,False,False,True
0,2,13.0,True,True,True,False,False,True
0,2,12.525,True,True,True,False,False,True
1,1,66.6,False,False,False,True,False,True
0,3,8.05,True,True,True,False,False,True
0,3,14.5,False,True,True,False,False,True
0,3,7.3125,True,True,True,False,False,True
0,1,61.3792,False,True,True,False,False,False
1,3,7.7333,True,False,False,True,True,False
0,3,8.05,True,True,True,False,False,True
0,3,8.6625,True,True,True,False,False,True
0,3,69.55,False,True,True,False,False,True
0,3,16.1,False,True,True,False,False,True
1,2,15.75,True,False,False,True,False,True
0,3,7.775,True,True,True,False,False,True
0,3,8.6625,True,True,True,False,False,True
0,3,39.6875,False,True,False,False,False,True
1,3,20.525,False,True,False,False,False,True
1,1,55.0,False,False,False,True,False,True
0,3,27.9,False,False,False,True,False,True
0,1,25.925,True,True,True,False,False,True
0,3,56.4958,True,True,True,False,False,True
0,1,33.5,True,True,True,False,False,True
0,3,29.125,False,True,False,False,True,False
1,3,11.1333,False,False,False,False,False,True
0,3,7.925,True,True,True,False,False,True
0,1,30.6958,True,True,True,False,False,False
0,3,7.8542,False,True,True,False,False,True
0,3,25.4667,False,True,True,False,False,True
0,1,28.7125,True,False,False,True,False,False
0,2,13.0,True,True,True,False,False,True
0,3,0.0,True,True,True,False,False,True
0,3,69.55,False,False,False,True,False,True
0,2,15.05,True,True,True,False,False,False
0,3,31.3875,False,True,False,False,False,True
1,2,39.0,False,True,False,False,False,True
1,3,22.025,False,False,False,False,False,True
0,1,50.0,True,True,True,False,False,True
1,3,15.5,False,False,False,True,True,False
1,1,26.55,True,True,True,False,False,True
0,3,15.5,False,True,True,False,True,False
0,3,7.8958,True,True,True,False,False,True
1,2,13.0,True,False,False,True,False,True
0,2,13.0,True,True,True,False,False,True
1,3,7.8542,False,False,False,True,False,True
1,2,26.0,False,True,False,False,False,True
1,1,27.7208,True,False,False,True,False,False
1,1,146.5208,True,False,False,True,False,False
0,3,7.75,True,True,True,False,True,False
0,3,8.4042,False,True,True,False,False,True
1,3,7.75,True,False,False,True,True,False
0,2,13.0,True,False,False,True,False,True
0,3,9.5,True,True,True,False,False,True
0,3,69.55,False,True,True,False,False,True
0,3,6.4958,True,True,True,False,False,True
0,3,7.225,True,True,True,False,False,False
1,3,8.05,True,True,True,False,False,True
0,3,10.4625,False,False,False,False,False,True
0,3,15.85,False,True,True,False,False,True
1,3,18.7875,True,True,True,False,False,False
1,3,7.75,True,False,False,True,True,False
1,1,31.0,True,True,True,False,False,False
0,3,7.05,True,True,True,False,False,True
1,2,21.0,True,False,False,True,False,True
0,3,7.25,True,True,True,False,False,True
0,2,13.0,True,True,True,False,False,True
0,3,7.75,False,True,True,False,True,False
1,1,113.275,False,False,False,True,False,False
1,3,7.925,True,False,False,True,False,True
0,2,27.0,False,True,True,False,False,True
1,1,76.2917,True,False,False,True,False,False
0,2,10.5,True,True,True,False,False,True
1,3,8.05,True,True,True,False,False,True
0,2,13.0,True,True,True,False,False,True
0,3,8.05,True,True,True,False,False,True
0,3,7.8958,True,True,True,False,False,True
1,1,90.0,False,True,True,False,False,True
0,3,9.35,True,True,True,False,False,True
